map_size,num_agents,density,disjoint,heuristic,time_limit,cpu_time,h_time,h_cache,emvc_mvc_time,root_h_val,mdd_cache,mdd_time,expanded,generated
20,10,0.3,True,wdg,120.0,0.22166180610656738,0.09229063987731934,2936.0,0.0,3.0,5152.0,0.08303451538085938,11.0,16.0
20,10,0.3,True,wdg,120.0,0.6489992141723633,0.2510488033294678,10136.0,0.006047964096069336,4.0,9592.0,0.2919731140136719,11.0,21.0
20,10,0.3,True,wdg,120.0,0.031265974044799805,0.0,424.0,0.0,0.0,1376.0,0.015639781951904297,2.0,3.0
20,10,0.3,True,wdg,120.0,0.11651206016540527,0.017624378204345703,2648.0,0.0,2.0,2744.0,0.07825875282287598,6.0,11.0
20,10,0.3,True,wdg,120.0,4.051794528961182,0.9224250316619873,41336.0,0.0245513916015625,5.0,42712.0,0.8332114219665527,400.0,691.0
20,10,0.3,True,wdg,120.0,0.37299561500549316,0.11138033866882324,9720.0,0.0,2.0,9880.0,0.14612221717834473,23.0,43.0
20,10,0.3,True,wdg,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,0.3,True,wdg,120.0,0.4062502384185791,0.14061331748962402,5344.0,0.0,4.0,5760.0,0.21876287460327148,11.0,21.0
20,10,0.3,True,wdg,120.0,0.328125,0.046872854232788086,5312.0,0.0,4.0,5856.0,0.21875214576721191,9.0,17.0
20,10,0.3,True,wdg,120.0,0.6718757152557373,0.40630626678466797,10360.0,0.015627622604370117,7.0,10936.0,0.20308208465576172,15.0,27.0
20,10,0.3,True,wdg,120.0,0.8125064373016357,0.3124568462371826,11768.0,0.015619277954101562,4.0,19648.0,0.40629029273986816,17.0,32.0
20,10,0.3,True,wdg,120.0,4.249996662139893,2.0155646800994873,43640.0,0.015625,4.0,37816.0,1.1719787120819092,121.0,239.0
20,10,0.3,True,wdg,120.0,0.1249992847442627,0.0468747615814209,4800.0,0.0,2.0,2936.0,0.0781245231628418,7.0,12.0
